Population,name_of_P1,name_of_P2,R,CIL,CIU,N,R_type
ACB,P1.anc.YRI.2way.rand.48,P2.anc.YRI.2way.rand.48,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.48,P2.anc.YRI.2way.rand.48,-0.213285081457137,-0.599247078060495,0.253126565882421,20,pearson
ACB,P1.anc.YRI.2way.rand.49,P2.anc.YRI.2way.rand.49,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.49,P2.anc.YRI.2way.rand.49,-0.189061325898115,-0.582821207592162,0.27660087146673,20,pearson
ACB,P1.anc.YRI.2way.rand.50,P2.anc.YRI.2way.rand.50,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.50,P2.anc.YRI.2way.rand.50,-0.249671028447412,-0.623324086517905,0.216803169206096,20,pearson
ACB,P1.anc.YRI.2way.rand.51,P2.anc.YRI.2way.rand.51,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.51,P2.anc.YRI.2way.rand.51,-0.208652431908019,-0.596130659592496,0.257658766784617,20,pearson
ACB,P1.anc.YRI.2way.rand.52,P2.anc.YRI.2way.rand.52,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.52,P2.anc.YRI.2way.rand.52,-0.219971301991753,-0.603724418688748,0.246549023829004,20,pearson
ACB,P1.anc.YRI.2way.rand.53,P2.anc.YRI.2way.rand.53,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.53,P2.anc.YRI.2way.rand.53,-0.227693886835286,-0.608865792054233,0.238898094577021,20,pearson
ACB,P1.anc.YRI.2way.rand.54,P2.anc.YRI.2way.rand.54,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.54,P2.anc.YRI.2way.rand.54,-0.260927339139174,-0.630631741540741,0.205298378394586,20,pearson
ACB,P1.anc.YRI.2way.rand.55,P2.anc.YRI.2way.rand.55,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.55,P2.anc.YRI.2way.rand.55,-0.20360728992763,-0.592723420871112,0.262571285052173,20,pearson
ACB,P1.anc.YRI.2way.rand.56,P2.anc.YRI.2way.rand.56,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
