group,name_of_1,name_of_2,R,CIL,CIU,n,R_type
ACB,P1.anc.YRI.2way.rand.31,P2.anc.YRI.2way.rand.31,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.31,P2.anc.YRI.2way.rand.31,-0.259583381691761,-0.629762670264237,0.206678810607482,20,pearson
ACB,P1.anc.YRI.2way.rand.32,P2.anc.YRI.2way.rand.32,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.32,P2.anc.YRI.2way.rand.32,-0.179291709117417,-0.576104206461526,0.285913541274909,20,pearson
ACB,P1.anc.YRI.2way.rand.33,P2.anc.YRI.2way.rand.33,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.33,P2.anc.YRI.2way.rand.33,-0.204842001916123,-0.593558573317002,0.261371259758711,20,pearson
ACB,P1.anc.YRI.2way.rand.34,P2.anc.YRI.2way.rand.34,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.34,P2.anc.YRI.2way.rand.34,-0.216427010843479,-0.601354041681261,0.250041066961943,20,pearson
ACB,P1.anc.YRI.2way.rand.35,P2.anc.YRI.2way.rand.35,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.35,P2.anc.YRI.2way.rand.35,-0.223048796846858,-0.605777118993229,0.243507037732479,20,pearson
ACB,P1.anc.YRI.2way.rand.36,P2.anc.YRI.2way.rand.36,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.36,P2.anc.YRI.2way.rand.36,-0.245366206580339,-0.620512014117695,0.221169030535324,20,pearson
ACB,P1.anc.YRI.2way.rand.37,P2.anc.YRI.2way.rand.37,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.37,P2.anc.YRI.2way.rand.37,-0.224236952900341,-0.606568262499868,0.242330129713343,20,pearson
ACB,P1.anc.YRI.2way.rand.38,P2.anc.YRI.2way.rand.38,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.38,P2.anc.YRI.2way.rand.38,-0.209021943888287,-0.596379662340218,0.257298018334999,20,pearson
ACB,P1.anc.YRI.2way.rand.39,P2.anc.YRI.2way.rand.39,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.39,P2.anc.YRI.2way.rand.39,-0.223809861021368,-0.606283966995508,0.242753336538795,20,pearson
ACB,P1.anc.YRI.2way.rand.40,P2.anc.YRI.2way.rand.40,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.40,P2.anc.YRI.2way.rand.40,-0.228860611059642,-0.609639773614114,0.237737136691887,20,pearson
ACB,P1.anc.YRI.2way.rand.41,P2.anc.YRI.2way.rand.41,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.41,P2.anc.YRI.2way.rand.41,-0.215414825695647,-0.600675858938476,0.251036108327154,20,pearson
ACB,P1.anc.YRI.2way.rand.42,P2.anc.YRI.2way.rand.42,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.42,P2.anc.YRI.2way.rand.42,-0.238555229943094,-0.616043030985291,0.228038593901026,20,pearson
ACB,P1.anc.YRI.2way.rand.43,P2.anc.YRI.2way.rand.43,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.43,P2.anc.YRI.2way.rand.43,-0.222531309707795,-0.605432309151481,0.244019196771502,20,pearson
ACB,P1.anc.YRI.2way.rand.44,P2.anc.YRI.2way.rand.44,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.44,P2.anc.YRI.2way.rand.44,-0.226188143970771,-0.607865838480091,0.240394426551564,20,pearson
ACB,P1.anc.YRI.2way.rand.45,P2.anc.YRI.2way.rand.45,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.45,P2.anc.YRI.2way.rand.45,-0.253144370986236,-0.625585982284463,0.213266922677513,20,pearson
ACB,P1.anc.YRI.2way.rand.46,P2.anc.YRI.2way.rand.46,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.46,P2.anc.YRI.2way.rand.46,-0.225725634728995,-0.607558446015849,0.240853600361907,20,pearson
ACB,P1.anc.YRI.2way.rand.47,P2.anc.YRI.2way.rand.47,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.47,P2.anc.YRI.2way.rand.47,-0.219513194936282,-0.60341842386708,0.247001060453574,20,pearson
ACB,P1.anc.YRI.2way.rand.48,P2.anc.YRI.2way.rand.48,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.48,P2.anc.YRI.2way.rand.48,-0.227231341750897,-0.608558747862366,0.23935798467117,20,pearson
ACB,P1.anc.YRI.2way.rand.49,P2.anc.YRI.2way.rand.49,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.49,P2.anc.YRI.2way.rand.49,-0.221023521688502,-0.604426826030637,0.24550997805709,20,pearson
ACB,P1.anc.YRI.2way.rand.50,P2.anc.YRI.2way.rand.50,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.50,P2.anc.YRI.2way.rand.50,-0.176419797915289,-0.574119406958636,0.28863451545912,20,pearson
ACB,P1.anc.YRI.2way.rand.51,P2.anc.YRI.2way.rand.51,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.51,P2.anc.YRI.2way.rand.51,-0.15852210236889,-0.561643941300276,0.305423964659392,20,pearson
ACB,P1.anc.YRI.2way.rand.52,P2.anc.YRI.2way.rand.52,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.52,P2.anc.YRI.2way.rand.52,-0.21649051590506,-0.601396572761881,0.249978604644876,20,pearson
ACB,P1.anc.YRI.2way.rand.53,P2.anc.YRI.2way.rand.53,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.53,P2.anc.YRI.2way.rand.53,-0.214522052808693,-0.600077224083339,0.25191294251803,20,pearson
ACB,P1.anc.YRI.2way.rand.54,P2.anc.YRI.2way.rand.54,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
