Population,Type,Individual,Cluster,Ancestry
YRI,Reference,156,K2,1e-05
YRI,Reference,156,K3,0.99998
YRI,Reference,157,K1,1e-05
YRI,Reference,157,K2,1e-05
YRI,Reference,157,K3,0.99998
YRI,Reference,158,K1,1e-05
YRI,Reference,158,K2,1e-05
YRI,Reference,158,K3,0.99998
YRI,Reference,159,K1,1e-05
YRI,Reference,159,K2,1e-05
YRI,Reference,159,K3,0.99998
YRI,Reference,160,K1,1e-05
YRI,Reference,160,K2,1e-05
YRI,Reference,160,K3,0.99998
YRI,Reference,161,K1,1e-05
YRI,Reference,161,K2,1e-05
YRI,Reference,161,K3,0.99998
YRI,Reference,162,K1,1e-05
YRI,Reference,162,K2,1e-05
YRI,Reference,162,K3,0.99998
YRI,Reference,163,K1,1e-05
YRI,Reference,163,K2,1e-05
YRI,Reference,163,K3,0.99998
YRI,Reference,164,K1,1e-05
YRI,Reference,164,K2,1e-05
YRI,Reference,164,K3,0.99998
YRI,Reference,165,K1,1e-05
YRI,Reference,165,K2,1e-05
YRI,Reference,165,K3,0.99998
YRI,Reference,166,K1,1e-05
YRI,Reference,166,K2,1e-05
YRI,Reference,166,K3,0.99998
YRI,Reference,167,K1,1e-05
YRI,Reference,167,K2,1e-05
YRI,Reference,167,K3,0.99998
YRI,Reference,168,K1,1e-05
YRI,Reference,168,K2,1e-05
YRI,Reference,168,K3,0.99998
YRI,Reference,169,K1,1e-05
YRI,Reference,169,K2,1e-05
YRI,Reference,169,K3,0.99998
YRI,Reference,170,K1,1e-05
YRI,Reference,170,K2,1e-05
YRI,Reference,170,K3,0.99998
YRI,Reference,171,K1,1e-05
YRI,Reference,171,K2,1e-05
YRI,Reference,171,K3,0.99998
YRI,Reference,172,K1,1e-05
YRI,Reference,172,K2,1e-05
YRI,Reference,172,K3,0.99998
YRI,Reference,173,K1,1e-05
YRI,Reference,173,K2,1e-05
YRI,Reference,173,K3,0.99998
YRI,Reference,174,K1,1e-05
YRI,Reference,174,K2,1e-05
YRI,Reference,174,K3,0.99998
YRI,Reference,175,K1,1e-05
YRI,Reference,175,K2,1e-05
YRI,Reference,175,K3,0.99998
IBS,Reference,176,K1,2e-05
IBS,Reference,176,K2,0.99997
IBS,Reference,176,K3,1e-05
IBS,Reference,177,K1,2e-05
IBS,Reference,177,K2,0.99997
IBS,Reference,177,K3,1e-05
IBS,Reference,178,K1,2e-05
IBS,Reference,178,K2,0.99997
IBS,Reference,178,K3,1e-05
IBS,Reference,179,K1,1.9e-05
IBS,Reference,179,K2,0.999971
IBS,Reference,179,K3,1e-05
IBS,Reference,180,K1,1.9e-05
IBS,Reference,180,K2,0.999971
IBS,Reference,180,K3,1e-05
IBS,Reference,181,K1,1.8e-05
IBS,Reference,181,K2,0.999972
IBS,Reference,181,K3,1e-05
IBS,Reference,182,K1,1.8e-05
IBS,Reference,182,K2,0.999972
IBS,Reference,182,K3,1e-05
IBS,Reference,183,K1,1.8e-05
IBS,Reference,183,K2,0.999972
IBS,Reference,183,K3,1e-05
IBS,Reference,184,K1,1.8e-05
IBS,Reference,184,K2,0.999972
IBS,Reference,184,K3,1e-05
IBS,Reference,185,K1,1.7e-05
IBS,Reference,185,K2,0.999973
IBS,Reference,185,K3,1e-05
IBS,Reference,186,K1,1.7e-05
IBS,Reference,186,K2,0.999973
IBS,Reference,186,K3,1e-05
IBS,Reference,187,K1,1.7e-05
IBS,Reference,187,K2,0.999973
IBS,Reference,187,K3,1e-05
IBS,Reference,188,K1,1.7e-05
IBS,Reference,188,K2,0.999973
IBS,Reference,188,K3,1e-05
IBS,Reference,189,K1,1.7e-05
IBS,Reference,189,K2,0.999973
IBS,Reference,189,K3,1e-05
IBS,Reference,190,K1,1.7e-05
IBS,Reference,190,K2,0.999973
IBS,Reference,190,K3,1e-05
IBS,Reference,191,K1,1.6e-05
IBS,Reference,191,K2,0.999974
IBS,Reference,191,K3,1e-05
IBS,Reference,192,K1,1.6e-05
IBS,Reference,192,K2,0.999974
IBS,Reference,192,K3,1e-05
IBS,Reference,193,K1,1.6e-05
IBS,Reference,193,K2,0.999974
IBS,Reference,193,K3,1e-05
IBS,Reference,194,K1,1.5e-05
IBS,Reference,194,K2,0.999975
IBS,Reference,194,K3,1e-05
IBS,Reference,195,K1,1.5e-05
IBS,Reference,195,K2,0.999975
IBS,Reference,195,K3,1e-05
IBS,Reference,196,K1,1.5e-05
IBS,Reference,196,K2,0.999975
IBS,Reference,196,K3,1e-05
IBS,Reference,197,K1,1.5e-05
IBS,Reference,197,K2,0.999975
IBS,Reference,197,K3,1e-05
IBS,Reference,198,K1,1.5e-05
IBS,Reference,198,K2,0.999975
IBS,Reference,198,K3,1e-05
IBS,Reference,199,K1,1.5e-05
IBS,Reference,199,K2,0.999975
IBS,Reference,199,K3,1e-05
IBS,Reference,200,K1,1.4e-05
IBS,Reference,200,K2,0.999976
IBS,Reference,200,K3,1e-05
IBS,Reference,201,K1,1.4e-05
IBS,Reference,201,K2,0.999976
IBS,Reference,201,K3,1e-05
IBS,Reference,202,K1,1.4e-05
IBS,Reference,202,K2,0.999976
IBS,Reference,202,K3,1e-05
IBS,Reference,203,K1,1.4e-05
IBS,Reference,203,K2,0.999976
IBS,Reference,203,K3,1e-05
IBS,Reference,204,K1,1.3e-05
IBS,Reference,204,K2,0.999977
IBS,Reference,204,K3,1e-05
IBS,Reference,205,K1,1.3e-05
IBS,Reference,205,K2,0.999977
IBS,Reference,205,K3,1e-05
IBS,Reference,206,K1,1.3e-05
IBS,Reference,206,K2,0.999977
IBS,Reference,206,K3,1e-05
IBS,Reference,207,K1,1.3e-05
IBS,Reference,207,K2,0.999977
IBS,Reference,207,K3,1e-05
IBS,Reference,208,K1,1.3e-05
IBS,Reference,208,K2,0.999977
IBS,Reference,208,K3,1e-05
IBS,Reference,209,K1,1.3e-05
IBS,Reference,209,K2,0.999977
IBS,Reference,209,K3,1e-05
IBS,Reference,210,K1,1.3e-05
IBS,Reference,210,K2,0.999977
IBS,Reference,210,K3,1e-05
IBS,Reference,211,K1,1.3e-05
IBS,Reference,211,K2,0.999977
IBS,Reference,211,K3,1e-05
IBS,Reference,212,K1,1.3e-05
IBS,Reference,212,K2,0.999977
IBS,Reference,212,K3,1e-05
IBS,Reference,213,K1,1.3e-05
IBS,Reference,213,K2,0.999977
IBS,Reference,213,K3,1e-05
IBS,Reference,214,K1,1.3e-05
IBS,Reference,214,K2,0.999977
IBS,Reference,214,K3,1e-05
IBS,Reference,215,K1,1.2e-05
IBS,Reference,215,K2,0.999978
IBS,Reference,215,K3,1e-05
IBS,Reference,216,K1,1.2e-05
IBS,Reference,216,K2,0.999978
