coh,type,stat,value
MXL,Mean.adm.IBS,var,0.0388490265008082
MXL,Mean.adm.YRI,mean,0.032232296875
MXL,Mean.adm.YRI,var,0.000356392984223538
MXL,Mean.adm.NonYRI,mean,0.96776765625
MXL,Mean.adm.NonYRI,var,0.000356390682716733
MXL,Mean.rfm.NAM,mean,0.462283392946246
MXL,Mean.rfm.NAM,var,0.034785218107481
MXL,Mean.rfm.IBS,mean,0.493892243026276
MXL,Mean.rfm.IBS,var,0.0334839149617977
MXL,Mean.rfm.YRI,mean,0.0438243640274779
MXL,Mean.rfm.YRI,var,0.000274418562308475
PEL,Delta.anc.IBS,mean,0.1566
PEL,Delta.anc.IBS,var,0.0139166
PEL,Delta.anc.YRI,mean,0.0182285714285714
PEL,Delta.anc.YRI,var,0.000678416806722689
PEL,Delta.anc.NAM,mean,0.152742857142857
PEL,Delta.anc.NAM,var,0.015558843697479
PEL,Delta.anc.NonYRI.2way,mean,0.0374
PEL,Delta.anc.NonYRI.2way,var,0.00211777647058823
PEL,Delta.anc.YRI.2way,mean,0.0374285714285714
PEL,Delta.anc.YRI.2way,var,0.00211578151260504
PEL,Delta.sex,mean,1
PEL,Delta.sex,var,0
PEL,Delta.adm.NAM,mean,0.124001257142857
PEL,Delta.adm.NAM,var,0.00779464640849076
PEL,Delta.adm.IBS,mean,0.112138885714286
PEL,Delta.adm.IBS,var,0.00808082186122185
PEL,Delta.adm.YRI,mean,0.0258640571428571
PEL,Delta.adm.YRI,var,0.00213578904711429
PEL,Delta.adm.NonYRI,mean,0.0258640285714286
PEL,Delta.adm.NonYRI,var,0.00213578631314622
PEL,Delta.rfm.NAM,mean,0.11968889057525
PEL,Delta.rfm.NAM,var,0.00598291209149718
PEL,Delta.rfm.IBS,mean,0.105722644793252
PEL,Delta.rfm.IBS,var,0.00622157749591691
PEL,Delta.rfm.YRI,mean,0.0293160589120479
PEL,Delta.rfm.YRI,var,0.00169452727757188
PEL,Mean.anc.IBS,mean,0.2407
PEL,Mean.anc.IBS,var,0.0181596205882353
PEL,Mean.anc.YRI,mean,0.0718857142857143
PEL,Mean.anc.YRI,var,0.0217241042016807
PEL,Mean.anc.NAM,mean,0.687542857142857
PEL,Mean.anc.NAM,var,0.0703779025210084
PEL,Mean.anc.NonYRI.2way,mean,0.962042857142857
PEL,Mean.anc.NonYRI.2way,var,0.00098538781512605
PEL,Mean.anc.YRI.2way,mean,0.0379428571428571
PEL,Mean.anc.YRI.2way,var,0.000986173109243697
PEL,Mean.sex,mean,1.5
PEL,Mean.sex,var,0
PEL,Mean.adm.NAM,mean,0.8092854
PEL,Mean.adm.NAM,var,0.0142118704943647
PEL,Mean.adm.IBS,mean,0.175224442857143
PEL,Mean.adm.IBS,var,0.0115892994095996
PEL,Mean.adm.YRI,mean,0.0154901714285714
PEL,Mean.adm.YRI,var,0.000809007813896219
PEL,Mean.adm.NonYRI,mean,0.984509842857143
PEL,Mean.adm.NonYRI,var,0.00080900720534958
PEL,Mean.rfm.NAM,mean,0.763694324192527
PEL,Mean.rfm.NAM,var,0.0118321010395122
PEL,Mean.rfm.IBS,mean,0.212155670244899
PEL,Mean.rfm.IBS,var,0.00937732319315504
PEL,Mean.rfm.YRI,mean,0.0241500055625739
PEL,Mean.rfm.YRI,var,0.000774268805826265
PUR,Delta.anc.IBS,mean,0.1242
PUR,Delta.anc.IBS,var,0.0101398117647059
PUR,Delta.anc.YRI,mean,0.0761142857142857
PUR,Delta.anc.YRI,var,0.00307445714285714
PUR,Delta.anc.NAM,mean,0.0988285714285714
PUR,Delta.anc.NAM,var,0.0075096756302521
PUR,Delta.anc.NonYRI.2way,mean,0.135028571428571
PUR,Delta.anc.NonYRI.2way,var,0.0114909697478992
PUR,Delta.anc.YRI.2way,mean,0.135028571428571
PUR,Delta.anc.YRI.2way,var,0.0114909697478992
PUR,Delta.sex,mean,1
PUR,Delta.sex,var,0
PUR,Delta.adm.NAM,mean,0.0338652857142857
PUR,Delta.adm.NAM,var,0.000915215956092437
PUR,Delta.adm.IBS,mean,0.0749151714285714
PUR,Delta.adm.IBS,var,0.00722333081720504
PUR,Delta.adm.YRI,mean,0.0599841714285714
PUR,Delta.adm.YRI,var,0.00642560832155798
PUR,Delta.adm.NonYRI,mean,0.0599841714285714
PUR,Delta.adm.NonYRI,var,0.00642561054773445
PUR,Delta.rfm.NAM,mean,0.0339117718745995
PUR,Delta.rfm.NAM,var,0.000866288725766982
PUR,Delta.rfm.IBS,mean,0.0704388111422335
PUR,Delta.rfm.IBS,var,0.00658681346288826
PUR,Delta.rfm.YRI,mean,0.0577311970422651
PUR,Delta.rfm.YRI,var,0.00542519660406826
PUR,Mean.anc.IBS,mean,0.716671428571429
PUR,Mean.anc.IBS,var,0.0130386462184874
PUR,Mean.anc.YRI,mean,0.154828571428571
PUR,Mean.anc.YRI,var,0.016033087394958
PUR,Mean.anc.NAM,mean,0.128442857142857
PUR,Mean.anc.NAM,var,0.00248407016806723
PUR,Mean.anc.NonYRI.2way,mean,0.8602
PUR,Mean.anc.NonYRI.2way,var,0.0110052676470588
PUR,Mean.anc.YRI.2way,mean,0.1398
PUR,Mean.anc.YRI.2way,var,0.0110052676470588
PUR,Mean.sex,mean,1.5
PUR,Mean.sex,var,0
PUR,Mean.adm.NAM,mean,0.1380859
PUR,Mean.adm.NAM,var,0.00114547338705588
PUR,Mean.adm.IBS,mean,0.734881557142857
PUR,Mean.adm.IBS,var,0.010999254634629
PUR,Mean.adm.YRI,mean,0.127032542857143
PUR,Mean.adm.YRI,var,0.011444441946476
PUR,Mean.adm.NonYRI,mean,0.872967457142857
PUR,Mean.adm.NonYRI,var,0.0114444272121378
PUR,Mean.rfm.NAM,mean,0.138714201521381
PUR,Mean.rfm.NAM,var,0.00116316587753403
PUR,Mean.rfm.IBS,mean,0.729776768113659
PUR,Mean.rfm.IBS,var,0.00980190088540109
PUR,Mean.rfm.YRI,mean,0.13150903036496
PUR,Mean.rfm.YRI,var,0.0103255958851876
