coh,id,adm.NAM,adm.IBS,adm.YRI,p1,p2,sex,rfm.NAM,rfm.IBS,rfm.YRI,P1.anc.NAM,P1.anc.IBS,P1.anc.YRI,P2.anc.NAM,P2.anc.IBS,P2.anc.YRI.2,P1.anc.NonYRI.2way,P1.anc.YRI.2way,P2.anc.NonYRI.2way,P2.anc.YRI.2way,adm.NonYRI,P1.sex,P1.adm.NAM,P1.adm.IBS,P1.adm.YRI,P1.adm.NonYRI,P1.rfm.NAM,P1.rfm.IBS,P1.rfm.YRI,P2.sex,P2.adm.NAM,P2.adm.IBS,P2.adm.YRI,P2.adm.NonYRI,P2.rfm.NAM,P2.rfm.IBS,P2.rfm.YRI,P1.anc.NonYRI.2way.rand,P2.anc.NonYRI.2way.rand,P1.anc.YRI.2way.rand,P2.anc.YRI.2way.rand
PEL,HG02106,0.99998,1e-05,1e-05,HG02104,HG02105,2,0.896020578550847,0.0993627858527774,0.00461663559637574,0.898,0.102,0,0.886,0.108,0.006,0.964,0.036,0.997,0.003,0.99999,1,0.925968,0.074022,1e-05,0.99999,0.854068028068046,0.140240446144543,0.00569152578741108,2,0.998805,0.001185,1e-05,0.99999,0.917615420349905,0.0785395769447755,0.00384500270531912,0.997,0.964,0.036,0.003
PEL,HG02148,0.938397,0.061593,1e-05,HG02146,HG02147,2,0.855172047346604,0.142158497558652,0.00266945509474364,0.753,0.246,0.001,0.932,0.06,0.009,0.942,0.058,1,0,0.99999,1,0.919448,0.080542,1e-05,0.99999,0.85297381081226,0.14330020669617,0.00372598249156978,2,0.944721,0.055269,1e-05,0.99999,0.887746357274268,0.106570939915869,0.0056827028098625,0.942,1,0,0.058
PEL,HG02261,0.945221,0.054769,1e-05,HG02259,HG02260,1,0.868958485303996,0.119451373161338,0.0115901415346653,0.926,0.054,0.02,0.822,0.176,0.002,0.989,0.011,0.986,0.014,0.99999,1,0.999971,1.9e-05,1e-05,0.99999,0.94586126525029,0.0479965946756462,0.00614214007406364,2,0.846945,0.153045,1e-05,0.99999,0.792069369802887,0.20021617571313,0.00771445448398319,0.986,0.989,0.011,0.014
PEL,HG02273,0.999971,1.9e-05,1e-05,HG02271,HG02272,2,0.971487780569315,0.0277660682386717,0.000746151192012908,0.945,0.054,0.001,0.987,0.013,0,0.995,0.005,1,0,0.99999,1,0.99998,1e-05,1e-05,0.99999,0.937507530904865,0.0490007751944796,0.0134916939006549,2,0.999976,1.4e-05,1e-05,0.99999,0.980297340748123,0.0193264002458234,0.000376259006053665,1,0.995,0,0.005
PEL,HG02279,0.837253,0.162737,1e-05,HG02277,HG02278,1,0.780844818173451,0.20626197293095,0.0128932088955984,0.787,0.187,0.026,0.73,0.269,0.001,0.982,0.018,0.989,0.011,0.99999,1,0.708936,0.291054,1e-05,0.99999,0.677858668187223,0.318728817172829,0.00341251463994804,2,0.929992,0.069998,1e-05,0.99999,0.879915444114858,0.104900810699715,0.0151837451854276,0.982,0.989,0.011,0.018
PEL,HG02287,0.798802,0.201188,1e-05,HG02285,HG02286,2,0.758989798666335,0.229441014036912,0.0115691872967528,0.58,0.4,0.02,0.891,0.101,0.008,0.991,0.009,0.926,0.074,0.99999,1,0.814629,0.185361,1e-05,0.99999,0.780376901487571,0.205032026007577,0.0145910725048524,2,0.76718,0.23281,1e-05,0.99999,0.731735975433145,0.257086378460066,0.0111776461067886,0.926,0.991,0.074,0.009
PEL,HG02293,0.956662,0.043328,1e-05,HG02291,HG02292,2,0.877912686064002,0.11849446094591,0.00359285299008806,0.798,0.195,0.007,0.962,0.035,0.003,0.99,0.009,0.987,0.013,0.99999,1,0.99998,1e-05,1e-05,0.99999,0.937331442145021,0.0608070874224427,0.0018614704325359,2,0.886428,0.113562,1e-05,0.99999,0.831468453212631,0.166599462985079,0.00193208380228947,0.99,0.987,0.013,0.009
PEL,HG02300,0.736719,0.263271,1e-05,HG02299,HG02298,2,0.703728455595407,0.293057934550401,0.00321360985419228,0.502,0.488,0.011,0.88,0.12,0,0.988,0.012,0.989,0.011,0.99999,1,0.874497,0.125493,1e-05,0.99999,0.819873580575428,0.178324255457504,0.00180216396706778,2,0.631672,0.368318,1e-05,0.99999,0.604616553463382,0.380171841284286,0.0152116052523323,0.989,0.988,0.011,0.012
PEL,HG02303,0.735863,0.264127,1e-05,HG02302,HG02301,2,0.681431713134344,0.30041956320875,0.0181487236569067,0.549,0.444,0.007,0.803,0.178,0.019,0.899,0.101,0.999,0.001,0.99999,1,0.641165,0.358825,1e-05,0.99999,0.591861588601514,0.387328284136748,0.0208101272617381,2,0.834608,0.165382,1e-05,0.99999,0.786005133603338,0.205904182812007,0.00809068358465548,0.999,0.899,0.101,0.001
PUR,HG00552,0.083077,0.852649,0.064274,HG01075,HG00551,1,0.090969380772893,0.835958969983361,0.0730716492437464,0.068,0.851,0.081,0.114,0.818,0.068,0.888,0.112,0.944,0.056,0.935726,1,0.051192,0.863027,0.085781,0.914219,0.0621734270940332,0.838837535787289,0.0989890371186776,2,0.138277,0.791307,0.070416,0.929584,0.136429644337022,0.786296923435615,0.0772734322273631,0.944,0.888,0.112,0.056
