Population,name_of_P1,name_of_P2,R,CIL,CIU,N,R_type
ACB,P1.anc.YRI.2way.rand.47,P2.anc.YRI.2way.rand.47,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.47,P2.anc.YRI.2way.rand.47,-0.231850800950116,-0.611620096502995,0.234755626223774,20,pearson
ACB,P1.anc.YRI.2way.rand.48,P2.anc.YRI.2way.rand.48,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.48,P2.anc.YRI.2way.rand.48,-0.218994072251988,-0.603071536658689,0.247513058893984,20,pearson
ACB,P1.anc.YRI.2way.rand.49,P2.anc.YRI.2way.rand.49,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.49,P2.anc.YRI.2way.rand.49,-0.265902222524266,-0.633840705865143,0.200172283672254,20,pearson
ACB,P1.anc.YRI.2way.rand.50,P2.anc.YRI.2way.rand.50,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.50,P2.anc.YRI.2way.rand.50,-0.220675131297179,-0.604194324650505,0.245854125303098,20,pearson
ACB,P1.anc.YRI.2way.rand.51,P2.anc.YRI.2way.rand.51,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.51,P2.anc.YRI.2way.rand.51,-0.215231070021703,-0.60055267975102,0.251216645992454,20,pearson
ACB,P1.anc.YRI.2way.rand.52,P2.anc.YRI.2way.rand.52,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.52,P2.anc.YRI.2way.rand.52,-0.222335200374151,-0.605301600842535,0.244213218965283,20,pearson
ACB,P1.anc.YRI.2way.rand.53,P2.anc.YRI.2way.rand.53,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.53,P2.anc.YRI.2way.rand.53,-0.227055359568243,-0.608441898320808,0.239532901760282,20,pearson
ACB,P1.anc.YRI.2way.rand.54,P2.anc.YRI.2way.rand.54,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.54,P2.anc.YRI.2way.rand.54,-0.267019984197008,-0.634559960647866,0.19901702638329,20,pearson
ACB,P1.anc.YRI.2way.rand.55,P2.anc.YRI.2way.rand.55,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.55,P2.anc.YRI.2way.rand.55,-0.096783475949461,-0.517155174547548,0.361207347120568,20,pearson
ACB,P1.anc.YRI.2way.rand.56,P2.anc.YRI.2way.rand.56,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.56,P2.anc.YRI.2way.rand.56,-0.241751178751975,-0.618143064840975,0.224820928504269,20,pearson
ACB,P1.anc.YRI.2way.rand.57,P2.anc.YRI.2way.rand.57,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.57,P2.anc.YRI.2way.rand.57,-0.227925087638034,-0.609019223729088,0.238668142370768,20,pearson
ACB,P1.anc.YRI.2way.rand.58,P2.anc.YRI.2way.rand.58,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.58,P2.anc.YRI.2way.rand.58,-0.275320249461543,-0.639881154572019,0.190397612941084,20,pearson
ACB,P1.anc.YRI.2way.rand.59,P2.anc.YRI.2way.rand.59,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.59,P2.anc.YRI.2way.rand.59,-0.276699588626428,-0.640762056735186,0.188958246133395,20,pearson
ACB,P1.anc.YRI.2way.rand.60,P2.anc.YRI.2way.rand.60,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.60,P2.anc.YRI.2way.rand.60,-0.199002383169878,-0.589601289585412,0.267034144099744,20,pearson
ACB,P1.anc.YRI.2way.rand.61,P2.anc.YRI.2way.rand.61,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.61,P2.anc.YRI.2way.rand.61,-0.189756812396267,-0.583297339399597,0.275934562827734,20,pearson
ACB,P1.anc.YRI.2way.rand.62,P2.anc.YRI.2way.rand.62,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.62,P2.anc.YRI.2way.rand.62,-0.225590728216784,-0.60746876302238,0.240987494647776,20,pearson
ACB,P1.anc.YRI.2way.rand.63,P2.anc.YRI.2way.rand.63,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.63,P2.anc.YRI.2way.rand.63,-0.218966229867047,-0.6030529277659,0.24754051182082,20,pearson
ACB,P1.anc.YRI.2way.rand.64,P2.anc.YRI.2way.rand.64,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.64,P2.anc.YRI.2way.rand.64,-0.211245872922446,-0.597876726770991,0.255124084396456,20,pearson
ACB,P1.anc.YRI.2way.rand.65,P2.anc.YRI.2way.rand.65,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.65,P2.anc.YRI.2way.rand.65,-0.143643380224987,-0.551131395485292,0.319165195326119,20,pearson
ACB,P1.anc.YRI.2way.rand.66,P2.anc.YRI.2way.rand.66,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.66,P2.anc.YRI.2way.rand.66,-0.226447455483978,-0.608038131821977,0.240136893699022,20,pearson
ACB,P1.anc.YRI.2way.rand.67,P2.anc.YRI.2way.rand.67,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.67,P2.anc.YRI.2way.rand.67,-0.278774470140512,-0.64208535749477,0.18678929222133,20,pearson
ACB,P1.anc.YRI.2way.rand.68,P2.anc.YRI.2way.rand.68,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.68,P2.anc.YRI.2way.rand.68,-0.188598732698247,-0.582504365327972,0.277043809615432,20,pearson
ACB,P1.anc.YRI.2way.rand.69,P2.anc.YRI.2way.rand.69,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.69,P2.anc.YRI.2way.rand.69,-0.222631120169874,-0.605498825626222,0.24392043422149,20,pearson
ACB,P1.anc.YRI.2way.rand.70,P2.anc.YRI.2way.rand.70,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.70,P2.anc.YRI.2way.rand.70,-0.202000589281656,-0.59163540297556,0.264130692516883,20,pearson
ACB,P1.anc.YRI.2way.rand.71,P2.anc.YRI.2way.rand.71,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.71,P2.anc.YRI.2way.rand.71,-0.27791377015855,-0.641536690024006,0.187689566419117,20,pearson
